sid,state,electors
1,Alabama,9
2,Alaska,3
3,Arizona,11
4,Arkansas,6
5,California,54
6,Colorado,10
7,Connecticut,7
8,Delaware,3
9,District of Columbia,3
10,Florida,30
11,Georgia,16
12,Hawaii,4
13,Idaho,4
14,Illinois,19
15,Indiana,11
16,Iowa,6
17,Kansas,6
18,Kentucky,8
19,Louisiana,8
20,Maine CD-1,1
21,Maine CD-2,1
22,Maryland,10
23,Massachusetts,11
24,Michigan,15
25,Minnesota,10
26,Mississippi,6
27,Missouri,10
28,Montana,4
29,Nebraska CD-1,1
30,Nebraska CD-2,1
31,Nebraska CD-3,1
32,Nevada,6
33,New Hampshire,4
34,New Jersey,14
35,New Mexico,5
36,New York,28
37,North Carolina,16
38,North Dakota,3
39,Ohio,17
40,Oklahoma,7
41,Oregon,8
42,Pennsylvania,19
43,Rhode Island,4
44,South Carolina,9
45,South Dakota,3
46,Tennessee,11
47,Texas,40
48,Utah,6
49,Vermont,3
50,Virginia,13
51,Washington,12
52,West Virginia,4
53,Wisconsin,10
54,Wyoming,3
55,National,0
56,Nebraska,2
57,Maine,2
